,seriesValue,seriesID,seriesName,topicID,jurisdictionName,industryCode,industryName,occupationCode,occupationName,agencyID,agencyName,periodCode,startDate,endDate,sourceCitation,sourceName,sourceOrganization,sourceUrl,documentationUrl,footNote
14,401,13,Total Restrictions by Agency,1,United States,0,No applicable code,0,Not applicable.,72,Susquehanna River Basin Commission,2012,1/1/12,12/31/12,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
15,249,13,Total Restrictions by Agency,1,United States,0,No applicable code,0,Not applicable.,87,Marine Mammal Commission,2012,1/1/12,12/31/12,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
16,463,13,Total Restrictions by Agency,1,United States,0,No applicable code,0,Not applicable.,91,Delaware River Basin Commission,2012,1/1/12,12/31/12,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
17,74,13,Total Restrictions by Agency,1,United States,0,No applicable code,0,Not applicable.,201,Morris K. Udall Scholarship and Excellence In National Environmental Policy Foundation,2012,1/1/12,12/31/12,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
18,161371,13,Total Restrictions by Agency,1,United States,0,No applicable code,0,Not applicable.,219,Environmental Protection Agency,2012,1/1/12,12/31/12,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
19,65,13,Total Restrictions by Agency,1,United States,0,No applicable code,0,Not applicable.,222,Utah Reclamation Mitigation and Conservation Commission,2012,1/1/12,12/31/12,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
20,392,13,Total Restrictions by Agency,1,United States,0,No applicable code,0,Not applicable.,232,Water Resources Council,2012,1/1/12,12/31/12,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
21,297,13,Total Restrictions by Agency,1,United States,0,No applicable code,0,Not applicable.,72,Susquehanna River Basin Commission,2003,1/1/03,12/31/03,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
22,249,13,Total Restrictions by Agency,1,United States,0,No applicable code,0,Not applicable.,87,Marine Mammal Commission,2003,1/1/03,12/31/03,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
23,463,13,Total Restrictions by Agency,1,United States,0,No applicable code,0,Not applicable.,91,Delaware River Basin Commission,2003,1/1/03,12/31/03,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
24,74,13,Total Restrictions by Agency,1,United States,0,No applicable code,0,Not applicable.,201,Morris K. Udall Scholarship and Excellence In National Environmental Policy Foundation,2003,1/1/03,12/31/03,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
